acronym,expansion_a,hits_a,expansion_b,hits_b,similarity,decision
"בעה״ב","בעלות הברית",5168,"בעל הבית",461,0.842,keep
"גב״ש","גבעת שמואל",793,"גבעת שאול",381,0.842,keep
"מב״ו","מלך בשר ודם",24,"מבשר ודם",5,0.842,keep
"פלס״ר","פלוגת סיור",98,"פלוגת סער",3,0.842,merge
"רה״ג","רב האי גאון",419,"רב הגאון",1,0.842,merge
"אש״ל","אכילה שתיה לינה",1,"אכילה שתיה ליווי",0,0.839,merge
"הועה״מ","הועדה המרכזת",2,"הועדה המסדרת",0,0.833,keep
"לכאו״א","לכל אחד ואחד",59,"לכל אדם ואדם",13,0.833,merge
"מהר״ם","רבי משה אלשקר",7,"רבי משה שיק",5,0.833,keep
"מהר״ם","מורנו הרב רבי מאיר",0,"מורנו הרב רבי מנדל",0,0.833,keep
"מט״ש","מְכוֹן טִהוּר שְׁפָכִים",0,"מֶרְכָּז טִהוּר שְׁפָכִים",0,0.833,merge
"מל״ל","המטה לביטחון לאומי",235,"מועצה לבטחון לאומי",2,0.833,merge
"ע״פ","על פי",90011,"על פניו",1396,0.833,keep
"ריב״א","רבי יצחק בן אברהם מנרבונה",42,"רבי יצחק בן אברהם משאנץ",3,0.833,keep
"מהרי״ץ","יהודה צבי ברנדויין (הראשון)",6,"יהודה צבי ברנדויין (מקובל)",6,0.83,merge
"קרפ״ח","קצין רפואה חטיבתי",4,"קצין רפואה (רופא) חטיבתי",1,0.829,merge
"האר״י","האדון רבי יצחק",1,"אדוננו רבי יצחק",0,0.828,merge
"מהרש״ק","מורנו הרב רבי שלמה כהן",0,"מורנו הרב רבי שלמה קלוגר",0,0.826,keep
"ביה״כ","בית הכנסת",8270,"בית הכסא",19,0.824,keep
"ד״ת","דברי תורה",530,"דין תורה",163,0.824,keep
"זא״ז","זה את זה",1992,"זה אצל זה",12,0.824,keep
"יט״א","יחידת טיפול אוויר",0,"יחידת טיפול אקלים",0,0.824,keep
"מ״מ","ממלא מקום",1575,"מכל מקום",1165,0.824,keep
"סג״ל","סגן לויה",7,"סגן לויים",0,0.824,
"ר״י","רבי יהודה",3027,"רבי יודן",177,0.824,keep
"ר״י","רבי יוחנן",1021,"רבי יודן",177,0.824,keep
"ר״ע","ראש עיר",429,"ראש עירייה",158,0.824,merge
"ש״ג","שומר גבול",8,"שער גבול",4,0.824,keep
"ש״ס","שעה סמסטריאלית",1,"שעה סמסטריאלית (ש""ס)",1,0.824,merge
"א״א","אין אומרים",122,"אחרים אומרים",82,0.818,keep
"ברנ״ט","בן רבי נתן",7,"בן רבי נתנאל",2,0.818,keep
"בר״ש","ברבי שמעון",212,"בן רבי שמשון",4,0.818,keep
"הרה״ר","הרב הראשי",2264,"הרבנות הראשית",1207,0.818,keep
"NBL","ליגת העל האוסטרלית בכדורסל",18,"ליגת העל הצ'כית בכדורסל",4,0.816,keep
"מט״ש","מִתְקָן טִהוּר שְׁפָכִים",0,"מֶרְכָּז טִהוּר שְׁפָכִים",0,0.816,keep
"מא״ש","מרדכי איש-שלום",118,"מאיר איש-שלום",30,0.815,keep
"סל״ש","סיביות לשנייה",20,"סיבובים לשנייה",10,0.815,keep
"פא״י","פועלי אגודת ישראל",302,"פועלי ארץ ישראל",189,0.812,keep
"חרל״פ","חייא ראש לגולי פולין",0,"חייא ראש לגליל פורטוגל",0,0.81,keep
"יחב״ל","יחידות בינלאומיות",4,"היחידה לחקירות בינלאומיות",1,0.81,keep
"מהרש״ק","מורנו הרב רבי שלמה כהן",0,"מורנו הרב רבי שלמה קרלינר",0,0.809,keep
"NGA","ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית",1,"ראשי תיבות באנגלית של הגלריה הלאומית של אוסטרליה",1,0.808,keep
"NGA","ראשי תיבות באנגלית של אגודת המושלים הלאומית בארצות הברית",1,"ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית",1,0.804,keep
"אמ״ל","אין מה להוסיף",1,"אין מה להעיר",0,0.8,merge
"א״כ","אם כן",4005,"אם כך",674,0.8,keep
"א״כ","ארבע כוסות",113,"ארבע כנפות",42,0.8,keep
"ברנ״ט","בן רבי נתן",7,"בן רבי נטע",0,0.8,keep
"ב״ב","בני ברק",3711,"בני ברית",876,0.8,keep
"ב״ש","בית שאן",7985,"בית שמאי",159,0.8,keep
"ב״ש","בית שמש",1159,"בית שמאי",159,0.8,keep
"האר״י","האשכנזי רבי יצחק",3,"האלהי רבי יצחק",0,0.8,merge
"הנ״ל","הנזכר לעיל",81,"הנזכר לפני",1,0.8,merge
"יח״מ","יחידת מידה",360,"יחידת מדים",0,0.8,keep
"מהר״י","מהר""י הלוי",6,"מהר""י לבית הלוי",3,0.8,merge
"מהר״ם","רבי מאיר ברבי",24,"רבי מאיר שיף",4,0.8,keep
"מה״ד","משרד הדתות",322,"משרד הדואר",204,0.8,keep
"משה״ד","משרד הדתות",322,"משרד הדואר",204,0.8,keep
"משה״ח","משרד החוץ",5075,"משרד החינוך",4292,0.8,keep
"סאפ","SAP (חברה)",3,"SAP (חומר)",2,0.8,keep
"סג״ל","סגולת לויים",0,"סגן לויים",0,0.8,keep
"ע״כ","על כך",27984,"על כן",6975,0.8,keep
"ע״פ","על פי",90011,"על פה",103,0.8,keep
"קצא״א","חברת קו צינור אילת אשקלון",42,"חברת קו צינור אילת (קצ""א)",3,0.8,keep
"ראב״ד","אחיה ראב""ד",417,"איתי ראב""ד",6,0.8,keep
"ראב״ד","יורם ראב""ד",49,"תומר ראב""ד",6,0.8,keep
