acronym,page_title,expansion,hits,script,initials_match,looks_like_person,source,domain,raw_line
AI,AI,בינה מלאכותית,1793,latin,,False,wikipedia+wiktionary,,# Artificial Intelligence</br>[[בינה מלאכותית]].
AI,AI,אמריקן איידול,305,latin,,False,wikipedia,,אמריקן איידול (AI) - תוכנית מציאות אמריקנית
AI,AI,איי וייוויי,24,latin,,False,wikipedia,,איי וייוויי – אמן סיני
AI,AI,אדובי אילוסטרייטור,15,latin,,False,wikipedia,,אדובי אילוסטרייטור (Adobe Illustrator)
AI,AI,אינטליגנציה מלאכותית (סרט),5,latin,,False,wikipedia,,אינטליגנציה מלאכותית (סרט) (A.I. Artificial Intelligence) - סרט מדע בדיוני אמריקני
AI,AI,מד אופק מלאכותי,4,latin,,False,wikipedia,,מד אופק מלאכותי (Attitude Indicator)
AI,AI,קלט אנלוגי,2,latin,,False,wikipedia,,קלט אנלוגי (Analog Input)
AI,AI,A.I. (שיר של ואן ריפאבליק),1,latin,,False,wikipedia,,A.I. (שיר של ואן ריפאבליק)
AI,AI,A.i. (להקה),1,latin,,False,wikipedia,,A.i. (להקה) - להקה אמריקנית
AI,AI,ad interim (ביטוי לטיני),1,latin,,False,wikipedia,,ad interim (ביטוי לטיני) - לפי שעה
AI,AI,איי איי (זמרת),1,latin,,False,wikipedia,,איי איי (זמרת) - זמרת-יוצרת יפנית-אמריקנית
AI,AI,נוגד-קרח,0,latin,,False,wiktionary,,# Anti-Ice.</br>נוגד-קרח. מערכת להפשרת הצטברויות קרח.
ATM,ATM,כספומט,53,latin,,False,wikipedia,,"כספומט – מסוף אוטומטי המספק שירותי בנקאות; נקרא באנגלית ""ATM"", קיצור של Automatic Teller Machine"
ATM,ATM,ATM (שיר),2,latin,,False,wikipedia,,"ATM (שיר) – שיר של ג'יי קול, ראשי תיבות של ""Addicted To Money"""
BCC,BCC,העתק נסתר,0,latin,,False,wiktionary,,# <small>דואר אלקטרוני</small> Blind Carbon Copy.</br>העתק נסתר.
BCC,BCC,קוביה ממורכזת-גוף,0,latin,,False,wiktionary,,# <small>קריסטלוגרפיה</small> Body Centered Cube</br>קוביה ממורכזת-גוף.
BPM,BPM,120 פעימות בדקה,45,latin,,False,wikipedia,,120 פעימות בדקה – סרט קולנוע צרפתי
BPM,BPM,מכללת BPM,34,latin,,False,wikipedia,,"מכללת BPM – מוסד ישראלי ללימוד מקצועות המוזיקה, הסאונד וההפקה המוזיקלית"
BPM,BPM,ניהול תהליכים עסקיים,9,latin,,False,wikipedia,,ניהול תהליכים עסקיים – תוכנת תשתית המתארת ומבצעת תהליכים עסקיים באמצעות מחשב
CDC,CDC,"(בתרגום חופשי ""לכידת מידע שהשתנה"")",21,latin,,False,wikipedia,,"(בתרגום חופשי ""לכידת מידע שהשתנה"") – אוסף תבניות עיצוב תוכנה שנועדו לנטר שינויים אחרונים במסד נתונים"
CDC,CDC,מרכז ידיעות קרב,13,latin,,True,wikipedia,,"מרכז ידיעות קרב (Combat Direction Center, ""מרכז הנחיית קרב"") – סוג של מרכז טקטי הנמצא בספינות מלחמה, צוללות ומטוסי שליטה ובקרה צבאיים"
CDC,CDC,תאגיד קונטרול דאטה,1,latin,,False,wikipedia,,תאגיד קונטרול דאטה (Control Data Corporation) – חברת מחשבים אמריקאית שפעלה בשנים 1957–1992
DNA,DNA (פירושונים),DNA (אלבום),5,latin,,False,wikipedia,,DNA (אלבום) – אלבום הבכורה של ליטל מיקס משנת 2012
DNA,DNA (פירושונים),מולקולת ענק של חומצת גרעין הבנויה כשרשרת נוקלאוטידים,3,latin,,False,wikipedia,,DNA – מולקולת ענק של חומצת גרעין הבנויה כשרשרת נוקלאוטידים
DNA,DNA (פירושונים),DNA (שיר של ליטל מיקס),2,latin,,False,wikipedia,,DNA (שיר של ליטל מיקס) – שיר הנושא של האלבום
DNA,DNA (פירושונים),DNA (שיר של BTS) משנת 2017,1,latin,,False,wikipedia,,DNA (שיר של BTS) משנת 2017
LCD,LCD,המחלק המשותף הקטן ביותר,0,latin,,False,wiktionary,,# <small>מתמטיקה</small> Lowest common denominator.</br>המחלק המשותף הקטן ביותר.
LCD,LCD,מסך הפועל על עקרון של גבישים נוזליים,0,latin,,False,wiktionary,,# <small>אלקטרוניקה</small> Liquid crystal display.</br>מסך הפועל על עקרון של גבישים נוזליים.
NBL,NBL,ליגת ה-NBL,48,latin,,True,wikipedia,,ליגת ה-NBL (National Basketball League) – ליגת עבר אמריקאית בכדורסל (1937–1949) שהתמזגה עם ליגת ה-BAA ליצירת ה-NBA
NBL,NBL,ליגת העל האוסטרלית בכדורסל,18,latin,,False,wikipedia,,ליגת העל האוסטרלית בכדורסל (National Basketball League) – ליגת הכדורסל הלאומית של אוסטרליה
NBL,NBL,ליגת העל הצ'כית בכדורסל,4,latin,,False,wikipedia,,ליגת העל הצ'כית בכדורסל (Národní basketbalová liga) - ליגת הכדורסל הבכירה בצ'כיה
NBL,NBL,המעבדה לציפה נייטרלית,2,latin,,True,wikipedia,,"המעבדה לציפה נייטרלית (Neutral Buoyancy Laboratory) - מתקן של נאס""א ביוסטון לאימון אסטרונאוטים בתנאי חוסר משקל"
NBL,NBL,קיצור לשמו של החומר n-בוטילליתיום,1,latin,,False,wikipedia,,"קיצור לשמו של החומר n-בוטילליתיום (n-butyllithium), ראו בוטילליתיום"
NGA,NGA,הקוד של ניגריה בתקן ISO 3166-1,1,latin,,False,wikipedia,,הקוד של ניגריה בתקן ISO 3166-1
NGA,NGA,ראשי תיבות באנגלית של אגודת המושלים הלאומית בארצות הברית,1,latin,,False,wikipedia,,ראשי תיבות באנגלית של אגודת המושלים הלאומית בארצות הברית
NGA,NGA,ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית,1,latin,,False,wikipedia,,ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית
NGA,NGA,ראשי תיבות באנגלית של הגלריה הלאומית של אוסטרליה,1,latin,,False,wikipedia,,ראשי תיבות באנגלית של הגלריה הלאומית של אוסטרליה
NSC,NSC,המועצה לביטחון לאומי של ארצות הברית,73,latin,,False,wikipedia,,"המועצה לביטחון לאומי של ארצות הברית – באנגלית: National Security Council, הגוף המייעץ לנשיא ארצות הברית בנושאי מדיניות חוץ וביטחון לאומי"
NSC,NSC,חוזה חברתי חדש,12,latin,,False,wikipedia,,"חוזה חברתי חדש – בהולנדית: Nieuw Sociaal Contract, מפלגה פוליטית בהולנד שהושקה והובלה על ידי פיטר אומטזיכט"
NSC,NSC,ועדת הקבינט לביטחון לאומי של אוסטרליה,5,latin,,False,wikipedia,,"ועדת הקבינט לביטחון לאומי של אוסטרליה – באנגלית: Cabinet National Security Committee, ועדה במחלקת ראש הממשלה והקבינט של ממשלת אוסטרליה המופקדת על פיקוח כל הנושאים הקשורים לביטחון הלאומי, תיאום מודיעיני ואסטרטגיה ביטחונית"
NSC,NSC,מרכז החלל הלאומי בלסטר,4,latin,,False,wikipedia,,"מרכז החלל הלאומי בלסטר – באנגלית: National Space Centre, מוזיאון ומשאב חינוכי המכסה את תחומי מדעי החלל והאסטרונומיה, שוכן בלסטר שבאנגליה"
NSC,NSC,מועדון הכדורגל נאשוויל,3,latin,,False,wikipedia,,"מועדון הכדורגל נאשוויל – באנגלית: Nashville Soccer Club, מועדון כדורגל מהעיר נאשוויל, בירת מדינת טנסי"
NY,NY,"New York, העיר ניו יורק",1,latin,,False,wiktionary,,"#New York, העיר ניו יורק."
NY,NY,"New York, מדינת ניו יורק בארצות הברית",0,latin,,False,wiktionary,,"#New York, מדינת ניו יורק ב[[ארצות הברית]]."
No,No,נובליום,18,latin,,False,wiktionary,כימיה,"#{{משלב/ר""ת|כימיה}} [[נובליום]]"
No,No,numero – מספר,0,latin,,False,wiktionary,לטינית,"#{{משלב/ר""ת|לטינית}} numero – [[מספר]]"
OVA,OVA,Ova (קיצור ל,1,latin,,False,wikipedia,,"Ova (קיצור ל–Ovalbumin) – אובלבומין, החלבון העיקרי בחלבון הביצה"
OVA,OVA,אנימה (יצירה מונפשת יפנית) שנועדה מראש להפצה לווידאו ביתי,1,latin,,False,wikipedia,,"אנימה (יצירה מונפשת יפנית) שנועדה מראש להפצה לווידאו ביתי, ראו אנימה (הנפשה)#OVA"
OVA,OVA,מיזם שיתופי של קרן לינוקס שפעל בשנים 2013,1,latin,,False,wikipedia,,"מיזם שיתופי של קרן לינוקס שפעל בשנים 2013–2016, לפיתוח תוכנות קוד פתוח חופשיות שניתן להריץ בסביבות עבודה וירטואליות, ראו גם וירטואליזציה"
VAC,VAC,ואץ,95,latin,,False,wikipedia,,"ואץ (בהונגרית: Vác) – עיירה בהונגריה, במחוז פשט"
VAC,VAC,מועדון סיף ואתלטיקה (הונגריה),2,latin,,False,wikipedia,,"מועדון סיף ואתלטיקה (הונגריה) (VAC; ראשי תיבות בהונגרית: Vívó és Atlétikai Club) – אגודת הספורט היהודית הראשונה בהונגריה, שנוסדה ב-1906"
VAC,VAC,טיפול בפצע באמצעות לחץ שלילי הידוע גם בשם VAC,1,latin,,False,wikipedia,,טיפול בפצע באמצעות לחץ שלילי הידוע גם בשם VAC (ראשי תיבות של Vacuum Assisted Closure)
א',א',אזרחי,9215,hebrew,True,False,wiktionary,משפטים,"# {{משלב/ר""ת|משפטים}} [[אזרחי]]"
א',א',אדון,2827,hebrew,True,False,wiktionary,,# אדון.
א',א',אֶלֶף,122,hebrew,True,False,wiktionary,,# {{הקשר|מספרים}} [[אלף#אֶלֶף|אֶלֶף]]
א',א',אחראי ל־,77,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אחראי ל־."
א',א',(גשר) אירי,8,hebrew,False,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} (גשר) אירי."
א',א',"קוד אירוע המציין טיפול באוּכלוּסייה, במערכת השלישות הצבאית",0,hebrew,False,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} קוד אירוע המציין טיפול באוּכלוּסייה, במערכת השלישות הצבאית."
א',א',"קידומת למִספרו הצבאי של חייל בעתודה האקדֵמית של צה""ל",0,hebrew,False,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} קידומת למִספרו הצבאי של חייל בעתודה האקדֵמית של צה""ל."
אא״ב,"אא""ב",אבות אכלו בוסר,16,hebrew,True,False,wiktionary,,#אבות אכלו בוסר.
אא״ב,"אא""ב",אי אמרת בשלמא,1,hebrew,True,False,wiktionary,,#אי אמרת בשלמא (ארמית)
אא״ג,"אא""ג",אף אוזן גרון,270,hebrew,True,False,wiktionary,רפואה,"# {{משלב/ר""ת|רפואה}} [[אף]] [[אוזן]] [[גרון]]."
אא״ג,"אא""ג",אלקטרואנצפלוגרף; תרשים הפעילות החשמלית של המוח,0,hebrew,True,False,wiktionary,רפואה,"# {{משלב/ר""ת|רפואה}} [[אלקטרואנצפלוגרף]]; תרשים הפעילות החשמלית של המוח."
אא״ח,"אא""ח",אמת או חובה,318,hebrew,True,False,wiktionary,,#אמת או חובה.
אא״ח,"אא""ח",אין איסור חל,5,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} אין איסור חל."
אא״ח,"אא""ח",איסור אשת אח,4,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} איסור אשת אח."
אא״ח,"אא""ח",אירוע אסכמטי חולף,0,hebrew,True,False,wiktionary,רפואה,"#{{משלב/ר""ת|רפואה}} אירוע אסכמטי חולף."
אא״ע,"אא""ע",ארגון אמהות עובדות,40,hebrew,True,False,wiktionary,,# ארגון אמהות עובדות.
אא״ע,"אא""ע",אחראי איכות ענפי,0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אחראי איכות ענפי."
אבט״ש,"אבט""ש",אבטחת יישובים,7,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אבטחת יישובים."
אבט״ש,"אבט""ש",אבטחה שוטפת,1,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אבטחה שוטפת. (נפוץ יותר כ[[בט""ש|בט""ש]])"
אבי״ב,"אבי""ב","איכות, בטיחות, ידע, בּוּ""ם (בקרה וּמעקב)",0,hebrew,True,False,wiktionary,,"# איכות, בטיחות, ידע, בּוּ""ם (בקרה וּמעקב)."
אבי״ב,"אבי""ב","איכות, ביקורת, ידע מבצעי ובטיחות",0,hebrew,True,False,wiktionary,,"# איכות, ביקורת, ידע מבצעי ובטיחות."
אבי״ר,"אבי""ר","אדוננו, בוראנו, יוצרנו ורופאנו - מידותיו של הקדוש ברוך הוא",0,hebrew,True,False,wiktionary,,"# [[אדון|אדוננו]], [[בורא|בוראנו]], [[יוצר|יוצרנו]] ו[[רופא|רופאנו]] - מידותיו של הקדוש ברוך הוא."
אבי״ר,"אבי""ר","אמונה, ביטחון, יראה ורחמנות - מידותיו של הלוחם",0,hebrew,True,False,wiktionary,,"# [[אמונה]], [[ביטחון]], [[יראה]] ו[[רחמנות]] - מידותיו של ה[[לוחם]]."
אב״ג,"אב""ג",אוניברסיטת בן-גוריון,2313,hebrew,True,False,wiktionary,,# אוניברסיטת בן-גוריון
אב״ג,"אב""ג",אבא גוריון,191,hebrew,True,False,wiktionary,,# אבא גוריון
אב״ג,"אב""ג",אברהם בר גוטלובר,43,hebrew,True,True,wiktionary,,# אברהם בר גוטלובר
אב״ג,"אב""ג",ארכיון בן-גוריון,15,hebrew,True,False,wikipedia,,"ארכיון בן-גוריון – ארכיון אודות דוד בן-גוריון שהוקם להנצחת מורשתו, ראו המכון למורשת בן-גוריון#ארכיון ומרכז מבקרים"
אב״ד,"אב""ד",אב בית דין,627,hebrew,True,False,wiktionary,יהדות,"# {{משלב/ר""ת|יהדות}} [[אב בית דין]]."
אב״ד,"אב""ד",אוירודינמיקה בלתי דחיסה,0,hebrew,True,False,wiktionary,תעופה,"# {{משלב/ר""ת|תעופה}} [[אוירודינמיקה]] בלתי דחיסה."
אב״י,"אב""י",אליעזר בן־יהודה,556,hebrew,True,False,wiktionary,,# [[w:אליעזר בן-יהודה|אליעזר בן־יהודה]]
אב״י,"אב""י",אבן יקרה,63,hebrew,True,True,wiktionary,,# אבן יקרה.
אב״ם,"אב""ם",אזור ביטחוני מיוחד,1,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אזור ביטחוני מיוחד."
אב״ם,"אב""ם",(חיל האוויר) אבטחת מידע,0,hebrew,False,False,wiktionary,,# (חיל האוויר) אבטחת מידע.
אב״ם,"אב""ם",אבטחת מִבצעים,0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אבטחת מִבצעים."
אב״ם,"אב""ם","אגף האִרגון, הבקרה והמִנהל",0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אגף האִרגון, הבקרה והמִנהל."
אב״מ,"אב""מ",אבטחת מידע,807,hebrew,True,False,wiktionary,,# [[אבטחת מידע]].
אב״מ,"אב""מ",אין בעד מה,15,hebrew,True,False,wiktionary,,# [[אין בעד מה]]
אב״צ,"אב""צ",אקדמיה בזמן צבא,1,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אקדמיה בזמן צבא."
אב״צ,"אב""צ",אבטחת ציבור,0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אבטחת ציבור."
אב״צ,"אב""צ",אביזר צמוד,0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אביזר צמוד."
אב״ש,"אב""ש",אבינו שבשמיים,24,hebrew,True,False,wiktionary,,# אבינו שב[[שמיים]].
אב״ש,"אב""ש",אבן שושן (המילונאי הנודע),0,hebrew,True,True,wiktionary,,# [[W:אבן שושן|אבן שושן]] (ה[[מילונאי]] הנודע).
אגו״ז,"אגו""ז","איכון, גילוי וזיהוי",0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} איכון, גילוי וזיהוי."
אגו״ז,"אגו""ז",אנטי גרילה ולוחמה זעירה,0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} [[אנטי]] [[גרילה]] ו[[לוחמה]] זעירה."
אגל״א,"אגל""א","""אתה גיבור לעולם, אדוני""",1,hebrew,True,False,wiktionary,,"# ""אתה גיבור לעולם, אדוני""."
אגל״א,"אגל""א",מילים אלו מופיעות בתפילת העמידה,0,hebrew,False,False,wiktionary,,"# מילים אלו מופיעות ב[[תפילה|תפילת]] העמידה. כמו כן, הן מופיעות לעתים על [[קמע|קמיעות]] [[נוצרי|נוצריים]]."
אג״ם,"אג""ם",אגף המבצעים,409,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אגף המבצעים."
אג״ם,"אג""ם",אגף המטה,42,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אגף המטה."
אג״ם,"אג""ם",אגף המטה הכללי,19,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אגף המטה הכללי."
אג״ם,"אג""ם","אג""ם-מבצעים",10,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} [[אג""ם]]-מבצעים."
אג״מ,"אג""מ",אגף מבצעים,195,hebrew,True,False,wiktionary,,# [[אגף מבצעים]].
אג״מ,"אג""מ",אגף מטה,26,hebrew,True,False,wiktionary,,# אגף מטה.
אג״נ,"אג""נ",אדון וגברת נכבדים,0,hebrew,True,False,wiktionary,,# [[אדון]] ו[[גברת]] נכבדים.
אג״נ,"אג""נ",אדון/גברת נכבד/ה,0,hebrew,True,False,wiktionary,,# אדון/גברת נכבד/ה.
אג״ס,"אג""ס",אגודת סטודנטים,107,hebrew,True,False,wiktionary,,# אגודת [[סטודנט]]ים.
אג״ס,"אג""ס",אזור גאוגרפי-סטטיסטי,0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אזור גאוגרפי-סטטיסטי."
אג״ס,"אג""ס","איתור, גילוי, סימון",0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} איתור, גילוי, סימון."
אד״ש,"אד""ש",אדר שני,26,hebrew,True,False,wiktionary,,# [[אדר שני]]
אד״ש,"אד""ש",אינו דוחה שבת,1,hebrew,True,False,wiktionary,,# אינו דוחה [[שבת]].
אד״ש,"אד""ש",אחר דרישת שלומו,0,hebrew,True,False,wiktionary,,# אחר דרישת שלומו.
אה״ב,"אה""ב",ארצות הברית,106217,hebrew,True,False,wiktionary,,#[[ארצות הברית]].
אה״ב,"אה""ב",את הבית,3121,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} את הבית."
אה״ב,"אה""ב",את הבשר,231,hebrew,True,False,wiktionary,,#את הבשר.
אה״ב,"אה""ב",את הבהמה,72,hebrew,True,False,wiktionary,,#את הבהמה.
אה״ק,"אה""ק",ארץ הקודש,537,hebrew,True,False,wiktionary,,#ארץ הקודש.
אה״ק,"אה""ק",ארון הקודש,534,hebrew,True,False,wiktionary,,#ארון הקודש.
אה״ק,"אה""ק",אוסילטור הרמוני קוונטי,1,hebrew,True,False,wiktionary,,# אוסילטור הרמוני קוונטי.
או״א,"או""א",אב ואם,255,hebrew,True,False,wiktionary,,# אב ואם.
או״א,"או""א",אלוהינו ואלוהי אבותינו,7,hebrew,True,False,wiktionary,יהדות,"# {{משלב/ר""ת|יהדות}} אלוהינו ואלוהי אבותינו."
או״א,"או""א",לוגיקה אם ורק אם,0,hebrew,False,False,wiktionary,,# <small>לוגיקה</small> [[אם ורק אם]].
או״ח,"או""ח",אורח חיים,3517,hebrew,True,False,wiktionary,ארון הספרים היהודי,"# {{משלב/ר""ת|ארון הספרים היהודי}} [[אורח חיים]]."
או״ח,"או""ח",אינטרנט ומידע חיוני,0,hebrew,True,False,wiktionary,מחשבים,"# {{משלב/ר""ת|מחשבים}} [[אינטרנט]] ומידע חיוני."
או״פ,"או""פ",או פסול,70,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} או פסול."
או״פ,"או""פ",אוניברסיטה פתוחה,20,hebrew,True,False,wiktionary,,#[[אוניברסיטה]] פתוחה.
או״פ,"או""פ",אור פנימי,9,hebrew,True,False,wiktionary,תורת הקבלה,"#{{משלב/ר""ת|תורת הקבלה}} אור פנימי."
או״פ,"או""פ",אברים ופדרים,0,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} [[אבר]]ים ו[[פדר]]ים."
או״ק,"או""ק",אות קריאה,510,hebrew,True,False,wiktionary,,# [[אות קריאה]].
או״ק,"או""ק",אישות וקבורה,0,hebrew,True,False,wiktionary,,# אישות וקבורה.
אז״ר,"אז""ר",אלכסנדר זיסקינד רבינוביץ',44,hebrew,True,False,wiktionary,,# אלכסנדר זיסקינד רבינוביץ'.
אז״ר,"אז""ר",אויב זרק רימון,0,hebrew,True,False,wiktionary,,#  אויב זרק רימון.
אחב״י,"אחב""י",אחינו בית ישראל,21,hebrew,True,False,wiktionary,,#אחינו [[בית]] [[ישראל]].
אחב״י,"אחב""י",אחינו בני ישראל,21,hebrew,True,False,wiktionary,,#אחינו [[בני ישראל]].
אחמ״ש,"אחמ""ש",אחראי משמרת,11,hebrew,True,False,wiktionary,,# אחראי [[משמרת]].
אחמ״ש,"אחמ""ש",אִחוד משפחות,0,hebrew,True,False,wiktionary,,#אִחוד משפחות
אח״ז,"אח""ז",אחרי זה,380,hebrew,True,False,wiktionary,,#אחרי זה.
אח״ז,"אח""ז",אחר זמנו,4,hebrew,True,False,wiktionary,,#אחר [[זמן|זמנו]].
אח״י,"אח""י","מפלגת אח""י",17,hebrew,False,False,wikipedia,,"מפלגת אח""י – מפלגה דתית ישראלית"
אח״י,"אח""י",אניית חיל הים,7,hebrew,True,False,wiktionary,,#[[אוניה|אניית]] [[חיל הים]].
אח״י,"אח""י",אחזקה יבשה,0,hebrew,True,False,wiktionary,,#אחזקה יבשה.
אח״י,"אח""י","ארץ, חברה, יהדות - מפלגת אח""י",0,hebrew,True,False,wiktionary,,"#ארץ, חברה, יהדות - מפלגת אח""י"
אח״ם,"אח""ם",אגף החקירות והמודיעין,144,hebrew,True,False,wikipedia,,אגף החקירות והמודיעין – אגף של משטרת ישראל
אח״ם,"אח""ם",אישיות חשובה מאוד,9,hebrew,True,False,wikipedia,,אישיות חשובה מאוד – אישיות ציבורית ידועה הנהנית מזכויות יתר עקב חשיבותה או מעמדה
אח״מ,"אח""מ",אחרי מות,1104,hebrew,True,False,wiktionary,יהדות,"#{{משלב/ר""ת|יהדות}} אחרי מות (פרשה שבועית)"
אח״מ,"אח""מ",אחר מכן,27,hebrew,True,False,wiktionary,,# [[אחר#אַחַר|אחר]] מ[[כן]].
אח״מ,"אח""מ",אגף חקירות ומודיעין,25,hebrew,True,False,wiktionary,משטרה,"# {{משלב/ר""ת|משטרה}} [[אגף]] [[חקירה|חקירות]] ו[[מודיעין]]."
אח״מ,"אח""מ",אישיות חשובה מאוד,9,hebrew,True,False,wiktionary,,# [[אישיות]] [[חשוב]]ה [[מאוד]].
אח״מ,"אח""מ","אחר מיתה, אחר מוֹת־",0,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} אחר [[מיתה]], אחר [[מת|מוֹת]]־"
איו״ב,"איו""ב",(חתימה של סופר עברי) אני יוסף בריל,0,hebrew,False,False,wiktionary,,# ([[חתימה]] של סופר עברי) אני יוסף בריל.
איו״ב,"איו""ב",אשרי יושבי ביתך (מילים פותחות פרק בתהלים ובתפילה),0,hebrew,True,False,wiktionary,יהדות,"# {{משלב/ר""ת|יהדות}} אשרי יושבי ביתך (מילים פותחות פרק בתהלים ובתפילה)."
איו״ש,"איו""ש",אזור יהודה ושומרון,184,hebrew,True,False,wiktionary,גאוגרפיה,"#{{משלב/ר""ת|גאוגרפיה}} [[אזור]] [[יהודה]] ו[[שומרון]]."
איו״ש,"איו""ש",אריכות ימים ושנים,1,hebrew,True,False,wiktionary,,# [[אריכות ימים]] ושנים.
איסו״ה,"איסו""ה",איסור והיתר,210,hebrew,True,False,wiktionary,יהדות,# {{משלב|יהדות}} [[אסור#אִסּוּר|איסור]] ו[[התר|היתר]]
איסו״ה,"איסו""ה","איסור הנאה, איסורי הנאה",0,hebrew,True,False,wiktionary,יהדות,"# {{משלב|יהדות}} [[אסור#אִסּוּר|איסור]] [[הנאה]], איסורי הנאה."
אי״ה,"אי""ה",ארץ ישראל השלמה,427,hebrew,True,False,wiktionary,,# [[ארץ ישראל]] השלמה.
אי״ה,"אי""ה",אם ירצה השם,7,hebrew,True,False,wiktionary,,# אם ירצה השם.
אי״ל,"אי""ל",ארגון יהודי לוחם,12,hebrew,True,False,wiktionary,,#ארגון יהודי לוחם.
אי״ל,"אי""ל",אגודה ישראלית לסכרת,0,hebrew,True,False,wiktionary,,#אגודה ישראלית ל[[סכרת]]
אלו״ל,"אלו""ל",אני לדודי ודודי לי,10,hebrew,True,False,wiktionary,,#אני לדודי ודודי לי.
אלו״ל,"אלו""ל","שמות כא', יג'",0,hebrew,False,False,wiktionary,,"#(והאלהים) אנה לידו ושמתי לך. <Br> שמות כא', יג'."
אל״ם,"אל""ם",אלוף משנה,2519,hebrew,True,False,wiktionary,,# [[אלוף משנה]].
אל״ם,"אל""ם",ארגון לא־ממשלתי,144,hebrew,True,False,wiktionary,,# ארגון לא־ממשלתי.
אל״ם,"אל""ם (פירושונים)",אביגדור בן שמחה הלוי מגלוגוי,2,hebrew,True,True,wikipedia,,"אביגדור בן שמחה הלוי מגלוגוי – מורה ומדקדק עברי, שנודע גם בראשי התיבות אל""ם"
אמ״ט,"אמ""ט",אינו מטמא,51,hebrew,True,False,wiktionary,,# אינו מטמא.
אמ״ט,"אמ""ט",אזור מוגן טילים,3,hebrew,True,False,wiktionary,,# [[אזור]] מוגן [[טיל]]ים.
אמ״ל,"אמ""ל",אין מה להוסיף,1,hebrew,True,False,wiktionary,,# אין מה ל[[הוספה|הוסיף]].
אמ״ם,"אמ""ם",אם ורק אם,973,hebrew,True,False,wiktionary,,# אם ורק אם.
אמ״ם,"אמ""ם",אמצעים מיוחדים,79,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אמצעים מיוחדים."
אמ״ן,"אמ""ן",אגף מודיעין,41,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} אגף מודיעין."
אמ״ן,"אמ""ן",אל מלך נאמן,8,hebrew,True,False,wiktionary,יהדות,"# {{משלב/ר""ת|יהדות}} אל [[מלך]] נאמן."
אמ״ץ,"אמ""ץ",אותו מצב,59,hebrew,True,False,wiktionary,,#אותו מצב.
אמ״ץ,"אמ""ץ","אגף המבצעים (בעבר נקרא אג""ם)",0,hebrew,True,True,wiktionary,"צה""ל","#{{משלב/ר""ת|צה""ל}} [[אגף מבצעים|אגף המבצעים]] (בעבר נקרא [[אג""ם]])."
אמ״ץ,"אמ""ץ",אדוני/אדונינו מורה צדק,0,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} אדוני/אדונינו מורה צדק."
אמ״ץ,"אמ""ץ",אזור מוכה ציפורים,0,hebrew,True,False,wiktionary,,#אזור מוכה ציפורים.
אמ״ק,"אמ""ק",אינץ' מעוקב,18,hebrew,True,False,wiktionary,יחידות מידה,"# {{משלב/ר""ת|יחידות מידה}} אינץ' מעוקב."
